id,start_floor,end_floor,start_timestamp,enter_elevator_timestamp,leave_elevator_timestamp,end_timestamp
90,0,1,2020-02-19T20:49:32.830502,2020-02-19T20:49:32.848730,2020-02-19T20:49:35.909954,2020-02-19T20:49:35.970672
91,0,2,2020-02-19T20:49:32.830523,2020-02-19T20:49:32.848724,2020-02-19T20:49:39.985950,2020-02-19T20:49:40.017623
99,0,1,2020-02-19T20:49:37.825263,2020-02-19T20:49:37.995939,2020-02-19T20:49:41.085350,2020-02-19T20:49:41.097263
92,0,3,2020-02-19T20:49:32.830534,2020-02-19T20:49:32.848717,2020-02-19T20:49:43.997954,2020-02-19T20:49:44.018052
100,0,2,2020-02-19T20:49:37.825285,2020-02-19T20:49:37.995933,2020-02-19T20:49:45.065968,2020-02-19T20:49:45.082389
108,0,1,2020-02-19T20:49:42.825160,2020-02-19T20:49:43.114840,2020-02-19T20:49:46.209462,2020-02-19T20:49:46.221268
93,0,4,2020-02-19T20:49:32.830544,2020-02-19T20:49:32.848711,2020-02-19T20:49:47.997978,2020-02-19T20:49:48.027365
101,0,3,2020-02-19T20:49:37.825294,2020-02-19T20:49:37.995926,2020-02-19T20:49:49.097940,2020-02-19T20:49:49.129964
109,0,2,2020-02-19T20:49:42.825183,2020-02-19T20:49:43.114834,2020-02-19T20:49:50.205941,2020-02-19T20:49:50.266498
117,0,1,2020-02-19T20:49:47.825236,2020-02-19T20:49:48.161183,2020-02-19T20:49:51.253370,2020-02-19T20:49:51.284982
94,0,5,2020-02-19T20:49:32.830553,2020-02-19T20:49:32.848703,2020-02-19T20:49:51.993955,2020-02-19T20:49:52.017247
102,0,4,2020-02-19T20:49:37.825304,2020-02-19T20:49:37.995919,2020-02-19T20:49:53.101956,2020-02-19T20:49:53.108210
110,0,3,2020-02-19T20:49:42.825193,2020-02-19T20:49:43.114827,2020-02-19T20:49:54.225969,2020-02-19T20:49:54.237255
118,0,2,2020-02-19T20:49:47.825258,2020-02-19T20:49:48.161177,2020-02-19T20:49:55.241022,2020-02-19T20:49:55.262674
126,0,1,2020-02-19T20:49:52.825097,2020-02-19T20:49:53.451919,2020-02-19T20:49:56.541936,2020-02-19T20:49:56.573574
95,0,6,2020-02-19T20:49:32.830562,2020-02-19T20:49:32.848697,2020-02-19T20:49:56.981159,2020-02-19T20:49:57.002525
103,0,5,2020-02-19T20:49:37.825313,2020-02-19T20:49:37.995911,2020-02-19T20:49:57.157943,2020-02-19T20:49:57.171969
111,0,4,2020-02-19T20:49:42.825202,2020-02-19T20:49:43.114820,2020-02-19T20:49:58.269932,2020-02-19T20:49:58.291494
119,0,3,2020-02-19T20:49:47.825268,2020-02-19T20:49:48.161170,2020-02-19T20:49:59.277457,2020-02-19T20:49:59.283668
127,0,2,2020-02-19T20:49:52.825120,2020-02-19T20:49:53.451913,2020-02-19T20:50:00.540994,2020-02-19T20:50:00.567474
96,0,7,2020-02-19T20:49:32.830571,2020-02-19T20:49:32.848689,2020-02-19T20:50:00.981953,2020-02-19T20:50:00.996009
104,0,6,2020-02-19T20:49:37.825322,2020-02-19T20:49:37.995904,2020-02-19T20:50:01.106201,2020-02-19T20:50:01.114497
135,0,1,2020-02-19T20:49:57.825157,2020-02-19T20:49:58.448999,2020-02-19T20:50:01.534992,2020-02-19T20:50:01.554684
112,0,5,2020-02-19T20:49:42.825211,2020-02-19T20:49:43.114808,2020-02-19T20:50:02.345999,2020-02-19T20:50:02.362560
120,0,4,2020-02-19T20:49:47.825277,2020-02-19T20:49:48.161163,2020-02-19T20:50:03.289946,2020-02-19T20:50:03.304256
128,0,3,2020-02-19T20:49:52.825130,2020-02-19T20:49:53.451906,2020-02-19T20:50:04.593928,2020-02-19T20:50:04.625496
97,0,8,2020-02-19T20:49:32.830580,2020-02-19T20:49:32.848681,2020-02-19T20:50:05.009959,2020-02-19T20:50:05.041454
105,0,7,2020-02-19T20:49:37.825330,2020-02-19T20:49:37.995897,2020-02-19T20:50:05.125953,2020-02-19T20:50:05.142674
136,0,2,2020-02-19T20:49:57.825179,2020-02-19T20:49:58.448992,2020-02-19T20:50:05.577933,2020-02-19T20:50:05.589288
113,0,6,2020-02-19T20:49:42.825220,2020-02-19T20:49:43.114801,2020-02-19T20:50:06.345955,2020-02-19T20:50:06.362847
121,0,5,2020-02-19T20:49:47.825286,2020-02-19T20:49:48.161151,2020-02-19T20:50:07.341933,2020-02-19T20:50:07.373727
129,0,4,2020-02-19T20:49:52.825139,2020-02-19T20:49:53.451900,2020-02-19T20:50:08.616971,2020-02-19T20:50:08.638493
98,0,9,2020-02-19T20:49:32.830588,2020-02-19T20:49:32.848659,2020-02-19T20:50:09.045550,2020-02-19T20:50:09.077596
106,0,8,2020-02-19T20:49:37.825339,2020-02-19T20:49:37.995889,2020-02-19T20:50:09.209652,2020-02-19T20:50:09.224013
137,0,3,2020-02-19T20:49:57.825189,2020-02-19T20:49:58.448986,2020-02-19T20:50:09.609930,2020-02-19T20:50:09.621506
114,0,7,2020-02-19T20:49:42.825229,2020-02-19T20:49:43.114794,2020-02-19T20:50:10.281953,2020-02-19T20:50:10.314476
122,0,6,2020-02-19T20:49:47.825295,2020-02-19T20:49:48.161144,2020-02-19T20:50:11.365941,2020-02-19T20:50:11.377174
130,0,5,2020-02-19T20:49:52.825148,2020-02-19T20:49:53.451892,2020-02-19T20:50:12.664683,2020-02-19T20:50:12.681016
138,0,4,2020-02-19T20:49:57.825199,2020-02-19T20:49:58.448979,2020-02-19T20:50:13.633934,2020-02-19T20:50:13.665690
107,0,9,2020-02-19T20:49:37.825348,2020-02-19T20:49:37.995865,2020-02-19T20:50:14.158431,2020-02-19T20:50:14.166503
115,0,8,2020-02-19T20:49:42.825238,2020-02-19T20:49:43.114786,2020-02-19T20:50:14.321943,2020-02-19T20:50:14.354243
123,0,7,2020-02-19T20:49:47.825304,2020-02-19T20:49:48.161137,2020-02-19T20:50:15.481943,2020-02-19T20:50:15.530477
131,0,6,2020-02-19T20:49:52.825157,2020-02-19T20:49:53.451885,2020-02-19T20:50:16.697932,2020-02-19T20:50:16.724529
139,0,5,2020-02-19T20:49:57.825208,2020-02-19T20:49:58.448972,2020-02-19T20:50:17.645960,2020-02-19T20:50:17.667555
116,0,9,2020-02-19T20:49:42.825246,2020-02-19T20:49:43.114762,2020-02-19T20:50:19.317961,2020-02-19T20:50:19.339411
124,0,8,2020-02-19T20:49:47.825313,2020-02-19T20:49:48.161129,2020-02-19T20:50:19.494428,2020-02-19T20:50:19.508905
132,0,7,2020-02-19T20:49:52.825166,2020-02-19T20:49:53.451878,2020-02-19T20:50:20.701925,2020-02-19T20:50:20.733717
140,0,6,2020-02-19T20:49:57.825217,2020-02-19T20:49:58.448966,2020-02-19T20:50:21.677377,2020-02-19T20:50:21.708945
125,0,9,2020-02-19T20:49:47.825321,2020-02-19T20:49:48.161104,2020-02-19T20:50:23.521951,2020-02-19T20:50:23.598543
133,0,8,2020-02-19T20:49:52.825175,2020-02-19T20:49:53.451870,2020-02-19T20:50:24.697934,2020-02-19T20:50:24.704040
141,0,7,2020-02-19T20:49:57.825225,2020-02-19T20:49:58.448959,2020-02-19T20:50:25.696194,2020-02-19T20:50:25.728318
134,0,9,2020-02-19T20:49:52.825184,2020-02-19T20:49:53.451846,2020-02-19T20:50:28.713945,2020-02-19T20:50:28.730373
142,0,8,2020-02-19T20:49:57.825234,2020-02-19T20:49:58.448950,2020-02-19T20:50:29.717933,2020-02-19T20:50:29.744483
143,0,9,2020-02-19T20:49:57.825243,2020-02-19T20:49:58.448926,2020-02-19T20:50:33.733925,2020-02-19T20:50:33.745303
9,1,0,2020-02-19T20:49:32.823751,2020-02-19T20:49:36.941144,2020-02-19T20:50:37.058051,2020-02-19T20:50:37.085138
8,1,0,2020-02-19T20:49:32.823742,2020-02-19T20:49:36.941166,2020-02-19T20:50:37.058071,2020-02-19T20:50:37.085153
7,1,0,2020-02-19T20:49:32.823733,2020-02-19T20:49:36.941174,2020-02-19T20:50:37.058078,2020-02-19T20:50:37.085160
6,1,0,2020-02-19T20:49:32.823724,2020-02-19T20:49:36.941181,2020-02-19T20:50:37.058084,2020-02-19T20:50:37.085167
5,1,0,2020-02-19T20:49:32.823715,2020-02-19T20:49:36.941188,2020-02-19T20:50:37.058090,2020-02-19T20:50:37.085172
4,1,0,2020-02-19T20:49:32.823706,2020-02-19T20:49:36.941195,2020-02-19T20:50:37.058097,2020-02-19T20:50:37.085178
3,1,0,2020-02-19T20:49:32.823698,2020-02-19T20:49:36.941201,2020-02-19T20:50:37.058103,2020-02-19T20:50:37.085184
2,1,0,2020-02-19T20:49:32.823688,2020-02-19T20:49:36.941208,2020-02-19T20:50:37.058109,2020-02-19T20:50:37.085189
1,1,0,2020-02-19T20:49:32.823678,2020-02-19T20:49:36.941214,2020-02-19T20:50:37.058115,2020-02-19T20:50:37.085195
0,1,0,2020-02-19T20:49:32.823653,2020-02-19T20:49:36.941221,2020-02-19T20:50:37.058121,2020-02-19T20:50:37.085200
19,2,0,2020-02-19T20:49:32.824042,2020-02-19T20:49:40.997186,2020-02-19T20:50:37.058127,2020-02-19T20:50:37.085206
18,2,0,2020-02-19T20:49:32.824031,2020-02-19T20:49:40.997206,2020-02-19T20:50:37.058133,2020-02-19T20:50:37.085211
17,2,0,2020-02-19T20:49:32.823998,2020-02-19T20:49:40.997214,2020-02-19T20:50:37.058139,2020-02-19T20:50:37.085217
29,3,0,2020-02-19T20:49:32.825112,2020-02-19T20:49:44.996096,2020-02-19T20:50:37.058144,2020-02-19T20:50:37.085222
39,4,0,2020-02-19T20:49:32.825741,2020-02-19T20:49:48.998360,2020-02-19T20:50:37.058150,2020-02-19T20:50:37.085228
49,5,0,2020-02-19T20:49:32.825648,2020-02-19T20:49:53.045388,2020-02-19T20:50:37.058156,2020-02-19T20:50:37.085233
59,6,0,2020-02-19T20:49:32.828622,2020-02-19T20:49:58.041615,2020-02-19T20:50:37.058162,2020-02-19T20:50:37.085238
69,7,0,2020-02-19T20:49:32.826336,2020-02-19T20:50:02.106410,2020-02-19T20:50:37.058168,2020-02-19T20:50:37.085244
79,8,0,2020-02-19T20:49:32.827521,2020-02-19T20:50:06.196811,2020-02-19T20:50:37.058174,2020-02-19T20:50:37.085249
89,9,0,2020-02-19T20:49:32.830388,2020-02-19T20:50:10.183413,2020-02-19T20:50:37.058179,2020-02-19T20:50:37.085255
16,2,0,2020-02-19T20:49:32.823989,2020-02-19T20:49:46.081269,2020-02-19T20:50:42.189093,2020-02-19T20:50:42.212448
15,2,0,2020-02-19T20:49:32.823980,2020-02-19T20:49:46.081291,2020-02-19T20:50:42.189113,2020-02-19T20:50:42.212464
14,2,0,2020-02-19T20:49:32.823971,2020-02-19T20:49:46.081299,2020-02-19T20:50:42.189121,2020-02-19T20:50:42.212471
13,2,0,2020-02-19T20:49:32.823962,2020-02-19T20:49:46.081306,2020-02-19T20:50:42.189127,2020-02-19T20:50:42.212477
12,2,0,2020-02-19T20:49:32.823953,2020-02-19T20:49:46.081313,2020-02-19T20:50:42.189133,2020-02-19T20:50:42.212482
11,2,0,2020-02-19T20:49:32.823942,2020-02-19T20:49:46.081320,2020-02-19T20:50:42.189140,2020-02-19T20:50:42.212488
10,2,0,2020-02-19T20:49:32.823911,2020-02-19T20:49:46.081326,2020-02-19T20:50:42.189146,2020-02-19T20:50:42.212494
28,3,0,2020-02-19T20:49:32.825103,2020-02-19T20:49:50.101409,2020-02-19T20:50:42.189152,2020-02-19T20:50:42.212499
27,3,0,2020-02-19T20:49:32.825094,2020-02-19T20:49:50.101430,2020-02-19T20:50:42.189158,2020-02-19T20:50:42.212504
26,3,0,2020-02-19T20:49:32.825086,2020-02-19T20:49:50.101438,2020-02-19T20:50:42.189165,2020-02-19T20:50:42.212510
